How do I keep these fresh?,Customer_Care_Appointments
Can I book an in person session to learn how to use my new phone at the store near my house?,Customer_Care_Appointments
Can someone support me at home?,Customer_Care_Appointments
Can you explain me this in my house?,Customer_Care_Appointments
Could I speak to someone in the store next tuesday?,Customer_Care_Appointments
Could you cancel the engagement I had tomorrow in my apartment?,Customer_Care_Appointments
How can I change the schedule?,Customer_Care_Appointments
I am due at a store tomorrow at 2pm and wish to change my appointment please?,Customer_Care_Appointments
I need to reschedule,Customer_Care_Appointments
I prefer a face to face visit,Customer_Care_Appointments
I want to cancel the appointment that I have with the store,Customer_Care_Appointments
I want to talk in person with someone about my case,Customer_Care_Appointments
I would like to discuss my situation face to face,Customer_Care_Appointments
I would like to make an appointment to visit the nearest store to my location.,Customer_Care_Appointments
Is it possible to set a date?,Customer_Care_Appointments
Make an appointment,Customer_Care_Appointments
Set up an appt,Customer_Care_Appointments
Store appointment,Customer_Care_Appointments
Want to change my visit,Customer_Care_Appointments
What time can I meet the staff?,Customer_Care_Appointments
When can I meet with one of your employees at your store?,Customer_Care_Appointments
Add new user please,Customer_Care_Authorized_User
I would like to add my wife to my account with access and management privileges,Customer_Care_Authorized_User
I would like to add my son to my account. I want him to be able to access the account and to make any changes he needs. can you help me with this?,Customer_Care_Authorized_User
I would like to add an authorized user to my account.,Customer_Care_Authorized_User
"I want to authorize my spouse to be able to make changes in my account, but not correlated with any financial or ownership responsibilities.",Customer_Care_Authorized_User
I want to add someone who can access my account.,Customer_Care_Authorized_User
I want to add my wife to the account,Customer_Care_Authorized_User
"I want to add my roommate to my plan, but keep sending the bill to me. can I do that here?",Customer_Care_Authorized_User
I want to add a secondary user to my account,Customer_Care_Authorized_User
"I want to add a new user who can make changes to and use the account, while I retain sole ownership?",Customer_Care_Authorized_User
I need to add someone to my account settings.,Customer_Care_Authorized_User
"Hi, how can I add a user so he can have all the access to my account?",Customer_Care_Authorized_User
Can you help me add another user to this account?,Customer_Care_Authorized_User
Can I add another user?,Customer_Care_Authorized_User
Can I add another person to have authority over my account?,Customer_Care_Authorized_User
Add user,Customer_Care_Authorized_User
Please update my account to allow my spouse to access the account?,Customer_Care_Authorized_User
Is it possible to add a user that is allowed to do change everything but cannot anything on the financial part?,Customer_Care_Authorized_User
I'd like to add a person to my billing account,Customer_Care_Authorized_User
I would like to add someone to my account who will be authorized to access the account and make changes.,Customer_Care_Authorized_User
Cancel account,Customer_Care_Cancel_Account
Cancel plan,Customer_Care_Cancel_Account
Cancel service please,Customer_Care_Cancel_Account
How do I cancel my phone service with your company?,Customer_Care_Cancel_Account
How do I close out my account?,Customer_Care_Cancel_Account
I am not very happy with services rendered on your part and want my account closed.,Customer_Care_Cancel_Account
I need help with cancellation,Customer_Care_Cancel_Account
I need to close my account at this time.,Customer_Care_Cancel_Account
I want to cancel my service,Customer_Care_Cancel_Account
I want to cancel.,Customer_Care_Cancel_Account
I want to disconnect my service,Customer_Care_Cancel_Account
"I would like to cancel my service, can you do that for me?",Customer_Care_Cancel_Account
Id like to cancel or stop my service from my account,Customer_Care_Cancel_Account
My phone is broken so I am wondering if I could cancel my contract,Customer_Care_Cancel_Account
Please close my data card account,Customer_Care_Cancel_Account
Put an end to my account.,Customer_Care_Cancel_Account
Terminate service,Customer_Care_Cancel_Account
What do I have to do to stop all my services with you and close my account?,Customer_Care_Cancel_Account
What is the procedure on canceling my account?,Customer_Care_Cancel_Account
Can you please terminate this service?,Customer_Care_Cancel_Account
Can you please arrange for someone to call me!?,Customer_Care_Contact_Us
How can I contact your business?,Customer_Care_Contact_Us
How do I best contact you when there has been a problem with my bill?,Customer_Care_Contact_Us
I want to know number to the store closest to me,Customer_Care_Contact_Us
I would like to speak to customer service.,Customer_Care_Contact_Us
Is there a phone number to your shop at fort worth tx?,Customer_Care_Contact_Us
Need your phone number,Customer_Care_Contact_Us
Tell me the number to your general department,Customer_Care_Contact_Us
What is the closest store's phone number?,Customer_Care_Contact_Us
What is the customer number?,Customer_Care_Contact_Us
What is you email?,Customer_Care_Contact_Us
What number should I call to order new line of service?,Customer_Care_Contact_Us
Where can I reach the company personally?,Customer_Care_Contact_Us
Which is the number of the main office here in los angeles?,Customer_Care_Contact_Us
Who can I call?,Customer_Care_Contact_Us
Can I contact the business by post?,Customer_Care_Contact_Us
Can I get some more information?,Customer_Care_Contact_Us
Can I text you a question?,Customer_Care_Contact_Us
Can you give me the number to the general manager?,Customer_Care_Contact_Us
Hi can you let me have the telephone number of my local store please?,Customer_Care_Contact_Us
What is your jobs web site?,Customer_Care_Employment_Inquiry
What jobs are available that are hiring for now?,Customer_Care_Employment_Inquiry
What kind of jobs do you have?,Customer_Care_Employment_Inquiry
What positions do you have available?,Customer_Care_Employment_Inquiry
What's the process for job application?,Customer_Care_Employment_Inquiry
Where is your careers page?,Customer_Care_Employment_Inquiry
I am looking for a job and would like to know if you have anything available..,Customer_Care_Employment_Inquiry
I need to find some work,Customer_Care_Employment_Inquiry
Is there any current employment opportunities?,Customer_Care_Employment_Inquiry
Search job,Customer_Care_Employment_Inquiry
How would I go about joining your company?,Customer_Care_Employment_Inquiry
Are there any job vacancies currently open at your company?,Customer_Care_Employment_Inquiry
Well I m asking what level of the marketing position your company is looking for,Customer_Care_Employment_Inquiry
What are the job openings available with the company?,Customer_Care_Employment_Inquiry
What are the jobs you are hiring for?,Customer_Care_Employment_Inquiry
What employment opportunities are currently available?,Customer_Care_Employment_Inquiry
Hire me please,Customer_Care_Employment_Inquiry
Halp me I need work,Customer_Care_Employment_Inquiry
Can I join you guys?,Customer_Care_Employment_Inquiry
Are you hiring at the moment?,Customer_Care_Employment_Inquiry
You can show to me my points?,Customer_Care_Loyalty_Status
Check rewards,Customer_Care_Loyalty_Status
Customer loyalty status,Customer_Care_Loyalty_Status
How can I see the points on my account?,Customer_Care_Loyalty_Status
How do I verify my rewards balance?,Customer_Care_Loyalty_Status
How many loyalty bonus points do I have?,Customer_Care_Loyalty_Status
How many miles do I have?,Customer_Care_Loyalty_Status
Please display my loyalty credits.,Customer_Care_Loyalty_Status
Please inform me of my current status?,Customer_Care_Loyalty_Status
Points balance?,Customer_Care_Loyalty_Status
Points statement?,Customer_Care_Loyalty_Status
See available rewards?,Customer_Care_Loyalty_Status
View my reward status.,Customer_Care_Loyalty_Status
What is my frequent buyer credit accumulation?,Customer_Care_Loyalty_Status
What is my reward tier right now?,Customer_Care_Loyalty_Status
What is the new point total?,Customer_Care_Loyalty_Status
What's the number of mileage that I have on my account?,Customer_Care_Loyalty_Status
Where do I learn my frequent purchaser tier?,Customer_Care_Loyalty_Status
Where is my points shown at?,Customer_Care_Loyalty_Status
Can you tell me the status of my reward?,Customer_Care_Loyalty_Status
Can I use another way of receiving alerts by editing existing one?,Customer_Care_Notification_Preferences
Tell me process to change alerts method,Customer_Care_Notification_Preferences
Notifications are to be received on sms,Customer_Care_Notification_Preferences
I want to stop getting emails every time my card gets swiped,Customer_Care_Notification_Preferences
I want my bank messages to notify me on emails as well,Customer_Care_Notification_Preferences
I request to get alerts via email,Customer_Care_Notification_Preferences
I need to change my current alert method to something else,Customer_Care_Notification_Preferences
How to switch over from sms to email delivery alert?,Customer_Care_Notification_Preferences
How to customize notifications that I am receiving?,Customer_Care_Notification_Preferences
How to change my notification preferences?,Customer_Care_Notification_Preferences
How do I change credit card transaction alerts?,Customer_Care_Notification_Preferences
How can I update my delivery methods?,Customer_Care_Notification_Preferences
How can I modify notification alerts?,Customer_Care_Notification_Preferences
How can I edit delivery methods to new one?,Customer_Care_Notification_Preferences
How can I change delivery method?,Customer_Care_Notification_Preferences
Changing my notification preferences,Customer_Care_Notification_Preferences
Change notifications to sms,Customer_Care_Notification_Preferences
Can you send text notifications to additional mobile number?,Customer_Care_Notification_Preferences
Can you send alert on my whatsapp?,Customer_Care_Notification_Preferences
Can you help me with changing delivery method?,Customer_Care_Notification_Preferences
Where is the sign in page?,Customer_Care_Open_Account
Can someone new be able to login?,Customer_Care_Open_Account
Can you show me where to register for the program?,Customer_Care_Open_Account
Could you explain how to create a fresh account?,Customer_Care_Open_Account
Go joining here?,Customer_Care_Open_Account
How can I register over here?,Customer_Care_Open_Account
How do I become a customer?,Customer_Care_Open_Account
How do I login?,Customer_Care_Open_Account
I'd like to register,Customer_Care_Open_Account
Make account,Customer_Care_Open_Account
Please tell me how to register as one of your members.,Customer_Care_Open_Account
What do I need to do to start an account with your company?,Customer_Care_Open_Account
What is required to get signed up here?,Customer_Care_Open_Account
What is the log in process for new users?,Customer_Care_Open_Account
What is the process to making an account?,Customer_Care_Open_Account
Where can I register?,Customer_Care_Open_Account
Where do I find guidance on signing up?,Customer_Care_Open_Account
Where do I register for this?,Customer_Care_Open_Account
Where does a first time visitor sign up?,Customer_Care_Open_Account
Where to login for the first time?,Customer_Care_Open_Account
Catalogue look,Customer_Care_Products_Offered
I need information on one of your products,Customer_Care_Products_Offered
I would like to know what I can buy,Customer_Care_Products_Offered
Items available?,Customer_Care_Products_Offered
Items currently sold,Customer_Care_Products_Offered
Need to know what products you have,Customer_Care_Products_Offered
New products,Customer_Care_Products_Offered
Show me retirement products,Customer_Care_Products_Offered
Show me some cars,Customer_Care_Products_Offered
Tell me about shoes,Customer_Care_Products_Offered
What are your business banking products?,Customer_Care_Products_Offered
What does your business sell?,Customer_Care_Products_Offered
What does your shop provide?,Customer_Care_Products_Offered
What kind of products are available?,Customer_Care_Products_Offered
What kinds of products do you sell?,Customer_Care_Products_Offered
What potential products or services are available?,Customer_Care_Products_Offered
What product do you recommend for a tech consultant?,Customer_Care_Products_Offered
What products are offered in the company?,Customer_Care_Products_Offered
What products can I get from your company?,Customer_Care_Products_Offered
What products do you offer in the company?,Customer_Care_Products_Offered
Where can I find information about changing my card pin?,Customer_Care_Profile_Password
What is the pin that is used to speak to a representative?,Customer_Care_Profile_Password
What is the policy for revising my current pin number?,Customer_Care_Profile_Password
What password do I use when chatting with an agent?,Customer_Care_Profile_Password
What are the rules for a valid password?,Customer_Care_Profile_Password
Wanna change pass,Customer_Care_Profile_Password
Tell me the steps to change the pin on my credit card,Customer_Care_Profile_Password
Reset password,Customer_Care_Profile_Password
My password has stopped working,Customer_Care_Profile_Password
Locate pin,Customer_Care_Profile_Password
I want to create new code for my credit card,Customer_Care_Profile_Password
"I need to talk to customer service, but I've lost my password. can you help me?",Customer_Care_Profile_Password
I have had the same pin used to contact telephone customer support for a long time and would like to change it. could you please help me to set this up.,Customer_Care_Profile_Password
I have a pw issue,Customer_Care_Profile_Password
I forgot my password,Customer_Care_Profile_Password
I don't remember my debit card pin. how do I recover it?,Customer_Care_Profile_Password
How to renew pin of credit card?,Customer_Care_Profile_Password
How do I get a new 4-digit code?,Customer_Care_Profile_Password
How do I find out the pin I need to use speak to someone on the phone?,Customer_Care_Profile_Password
Can you assist me with card code change?,Customer_Care_Profile_Password
How can I set up a phone security question?,Customer_Care_Profile_Security_Questions
I have a feeling that default security questions for accessing my account are too generic and weak. is there a way to have them changed?,Customer_Care_Profile_Security_Questions
I have forgotten my phone security questions,Customer_Care_Profile_Security_Questions
I need to change my questions to get in,Customer_Care_Profile_Security_Questions
I want to know my security question when I'm dealing with customer service representative.,Customer_Care_Profile_Security_Questions
I would like to change the security question used to access my account. could you please explain the procedure.,Customer_Care_Profile_Security_Questions
Is it possible to change the security questions I use to access my account when I call you?,Customer_Care_Profile_Security_Questions
"It has been a while since I updated my online security questions. can you give me directions on how I can edit my account to create better, more recent and more secure questions?",Customer_Care_Profile_Security_Questions
My email may have been hacked so I'm changing all my passwords and security questions can you change the ones I use for talking to customer support?,Customer_Care_Profile_Security_Questions
Security question answers,Customer_Care_Profile_Security_Questions
Security verification question,Customer_Care_Profile_Security_Questions
Update security questions,Customer_Care_Profile_Security_Questions
What are my profile questions?,Customer_Care_Profile_Security_Questions
"When I talk to a customer rep, what security questions can I use?",Customer_Care_Profile_Security_Questions
Why do I need to answer security questions when I speak to a representative on the phone?,Customer_Care_Profile_Security_Questions
Can I change the saved security questions I use when accessing my account via the phone?,Customer_Care_Profile_Security_Questions
